time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-21T01:38:32.670Z,-21.0636,-68.8249,92.96,4.6,mwr,,48,0.619,1.23,us,us2000ivpw,2019-02-23T20:21:52.040Z,"154 km N of Calama, Chile",earthquake,5.4,5.7,0.054,33,reviewed,us,us
2018-12-20T09:33:41.850Z,-23.289,-68.8255,106.35,4.1,mb,,72,0.599,1.06,us,us2000ival,2019-02-23T20:21:39.040Z,"76 km WSW of San Pedro de Atacama, Chile",earthquake,5.5,7.4,0.174,9,reviewed,us,us
2018-12-20T08:52:55.070Z,-19.2859,-63.9461,10,5,mb,,31,4.271,1.09,us,us2000ivae,2019-02-23T20:21:39.040Z,"37 km E of Padilla, Bolivia",earthquake,6.9,1.9,0.076,55,reviewed,us,us
2018-12-20T05:05:40.020Z,-19.9748,-69.3163,91.64,4.1,mb,,76,0.225,0.64,us,us2000iv8w,2019-02-23T20:21:36.040Z,"91 km ENE of Iquique, Chile",earthquake,5.4,5,0.151,12,reviewed,us,us
2018-12-20T03:03:43.770Z,-16.0034,-73.2631,54.08,4.2,mb,,142,3.652,0.91,us,us2000iv7y,2019-02-23T20:21:35.040Z,"10 km WNW of Urasqui, Peru",earthquake,8,9.7,0.152,12,reviewed,us,us
2018-12-18T21:29:45.630Z,-33.8314,-68.3835,15.97,4.1,mwr,,31,1.416,1.03,us,us2000iuwm,2019-02-23T20:21:24.040Z,"83 km S of San Martín, Argentina",earthquake,5.9,4.5,0.071,19,reviewed,us,us
2018-12-18T17:55:37.660Z,-27.9927,-69.3632,93.5,4.6,mb,,44,0.868,1.04,us,us2000iuur,2019-02-23T20:21:22.040Z,"Atacama, Chile",earthquake,5.9,7.4,0.136,18,reviewed,us,us
2018-12-18T03:55:36.710Z,-14.8693,-72.2087,95.23,4,mb,,190,3.914,0.72,us,us2000iumf,2019-02-23T20:21:15.040Z,"29 km SW of Cayarani, Peru",earthquake,12.8,11.6,0.184,8,reviewed,us,us
2018-12-17T22:01:07.850Z,-24.7373,-67.9476,123.03,4.4,mb,,45,1.55,1.38,us,us2000iuk7,2019-02-23T20:21:12.040Z,"156 km NNW of Antofagasta de la Sierra, Argentina",earthquake,8,8.3,0.155,12,reviewed,us,us
2018-12-17T21:00:25.910Z,-24.1917,-66.8477,178.56,4.6,mb,,40,1.736,0.9,us,us2000iuix,2019-02-23T20:21:10.040Z,"53 km W of San Antonio de los Cobres, Argentina",earthquake,9.1,7.2,0.129,18,reviewed,us,us
